日時,備考,信,龐煖,嬴政（声の出演）
2026/8/9 18:00,,三浦宏規,東 啓介,小関裕太
2026/8/10 13:00,,高野 洸,東 啓介,牧島 輝
2026/8/10 18:00,,三浦宏規,東 啓介,牧島 輝
2026/8/13 18:00,,高野 洸,章平,小関裕太
2026/8/14 13:00,,三浦宏規,章平,小関裕太
2026/8/15 13:00,,高野 洸,章平,小関裕太
2026/8/15 18:00,貸切,三浦宏規,章平,小関裕太
2026/8/16 13:00,貸切,高野 洸,章平,小関裕太
2026/8/17 13:00,,三浦宏規,章平,小関裕太
2026/8/17 18:00,,高野 洸,章平,小関裕太
2026/8/19 18:00,,三浦宏規,章平,牧島 輝
2026/8/20 13:00,貸切,高野 洸,東 啓介,牧島 輝
2026/8/20 18:00,,三浦宏規,東 啓介,牧島 輝
2026/8/21 13:00,,高野 洸,東 啓介,牧島 輝
2026/8/22 13:00,,三浦宏規,章平,牧島 輝
2026/8/22 18:00,,高野 洸,章平,牧島 輝
2026/8/23 13:00,,三浦宏規,章平,牧島 輝
2026/8/24 13:00,,高野 洸,章平,牧島 輝
2026/8/26 18:00,,三浦宏規,章平,小関裕太
2026/8/27 13:00,,高野 洸,章平,小関裕太
2026/8/28 13:00,貸切,三浦宏規,章平,小関裕太
2026/8/29 13:00,,高野 洸,東 啓介,小関裕太
2026/8/29 18:00,貸切,三浦宏規,東 啓介,小関裕太
2026/8/30 13:00,,高野 洸,章平,小関裕太
2026/8/31 13:00,貸切,三浦宏規,東 啓介,小関裕太
2026/8/31 18:00,,高野 洸,東 啓介,小関裕太
2026/9/2 18:00,,三浦宏規,章平,牧島 輝
2026/9/3 13:00,,高野 洸,章平,牧島 輝
2026/9/3 18:00,,三浦宏規,章平,牧島 輝
2026/9/4 13:00,,高野 洸,章平,牧島 輝
2026/9/5 13:00,,三浦宏規,章平,牧島 輝
2026/9/5 18:00,,高野 洸,章平,牧島 輝
2026/9/6 13:00,貸切,三浦宏規,章平,牧島 輝
2026/9/7 13:00,,高野 洸,章平,牧島 輝
2026/9/9 13:00,,三浦宏規,章平,小関裕太
2026/9/9 18:00,,高野 洸,章平,小関裕太
2026/9/10 13:00,,三浦宏規,東 啓介,小関裕太
2026/9/11 13:00,貸切,高野 洸,東 啓介,小関裕太
2026/9/11 18:00,,三浦宏規,東 啓介,小関裕太
2026/9/12 13:00,貸切,高野 洸,東 啓介,牧島 輝
2026/9/13 13:00,,三浦宏規,東 啓介,牧島 輝
2026/9/13 18:00,,高野 洸,東 啓介,牧島 輝
